id,二元成立,是否成立,案件大類型,案件細節類型,主席,調解人,調解次數,調解人數,have_other,調解天數,收件年,收件月,收件日,結案年,結案月,結案日,收件星期,結案星期,收件分鐘,結案分鐘,死,賠償,糾紛,male_sum,male_mean,聲請人_sum,對造人_sum,法定代理人_sum,委任代理人_sum,公司代表人_sum,age_mean,age_median,age_min,age_max,party_count,age_missing_rate,city_missing_rate,city_mode,money_sum,money_mean,money_first,money_last,調解人過去經手數,調解人過去成功數,調解人過去成功率,案件分類
10100146,1,成立,B.刑事,交通事故,385000000000000.0,3.85e+19,1.0,2,0,12.0,2012,2,51,2012.0,3.0,66.0,0,1.0,660.0,910.0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,32.0,32.0,32.0,32.0,2.0,0.5,0.0,台南,-1.0,-1.0,-1.0,-1.0,91.0,61.0,0.67032967,車禍
10100147,0,不成立,B.刑事,交通事故,385000000000000.0,206000000000000.0,7.0,2,0,274.0,2012,2,51,2013.0,3.0,66.0,0,3.0,895.0,860.0,0,0,1,1.0,0.5,1.0,1.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,2.0,0.5,0.5,台南,-1.0,-1.0,-1.0,-1.0,10.0,9.0,0.9,車禍
10100148,1,成立,B.刑事,交通事故,385000000000000.0,385000000000000.0,3.0,7,0,90.0,2012,2,53,2012.0,6.0,178.0,2,1.0,681.0,860.0,0,0,1,2.0,0.3333333333333333,3.0,3.0,0.0,0.0,0.0,39.5,39.5,35.0,44.0,6.0,0.6666666666666666,0.0,台南,-1.0,-1.0,-1.0,-1.0,142.0,92.0,0.647887324,車禍
10100149,0,不成立,B.刑事,其他,385000000000000.0,304000000000000.0,2.0,2,0,19.0,2012,2,54,2012.0,3.0,80.0,3,1.0,700.0,910.0,0,0,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,47.0,47.0,45.0,49.0,2.0,0.0,0.0,台南,-1.0,-1.0,-1.0,-1.0,16.0,10.0,0.625,詐欺
10100150,1,成立,B.刑事,交通事故,385000000000000.0,304000000000000.0,3.0,2,0,34.0,2012,2,54,2012.0,4.0,101.0,3,1.0,710.0,840.0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,42.5,42.5,35.0,50.0,2.0,0.0,0.0,台南,-1.0,-1.0,-1.0,-1.0,116.0,76.0,0.655172414,車禍
10100151,1,成立,B.刑事,人身/侵權,385000000000000.0,222000000000000.0,2.0,2,0,17.0,2012,2,54,2012.0,3.0,76.0,3,4.0,718.0,570.0,0,0,1,2.0,1.0,1.0,1.0,0.0,0.0,0.0,51.5,51.5,34.0,69.0,2.0,0.0,0.5,台南,-1.0,-1.0,-1.0,-1.0,2.0,2.0,1.0,傷害
10100152,1,成立,B.刑事,交通事故,385000000000000.0,341000000000000.0,1.0,2,0,10.0,2012,2,55,2012.0,3.0,68.0,4,3.0,922.0,860.0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0,2.0,0.5,0.0,台南,-1.0,-1.0,-1.0,-1.0,112.0,74.0,0.660714286,車禍
10100153,1,成立,B.刑事,其他,385000000000000.0,341000000000000.0,1.0,2,0,10.0,2012,2,55,2012.0,3.0,68.0,4,3.0,936.0,860.0,0,0,0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,70.5,70.5,70.0,71.0,2.0,0.0,0.0,台南,150000.0,75000.0,80000.0,70000.0,21.0,8.0,0.380952381,債務
10100154,0,當事人不到場,B.刑事,交通事故,385000000000000.0,,2.0,2,0,23.0,2012,2,55,2012.0,3.0,87.0,4,1.0,957.0,910.0,0,0,1,1.0,0.5,1.0,1.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,2.0,0.5,0.0,台南,-1.0,-1.0,-1.0,-1.0,,,,車禍
10100155,1,成立,B.刑事,交通事故,385000000000000.0,206000000000000.0,1.0,3,1,14.0,2012,2,51,2012.0,3.0,68.0,0,3.0,695.0,910.0,0,0,1,2.0,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,37.0,37.0,20.0,54.0,3.0,0.3333333333333333,0.0,台南,-1.0,-1.0,-1.0,-1.0,11.0,9.0,0.818181818,車禍
10100156,1,成立,B.刑事,交通事故,385000000000000.0,206000000000000.0,3.0,5,1,32.0,2012,2,60,2012.0,4.0,103.0,2,3.0,838.0,860.0,0,0,1,1.0,0.2,1.0,2.0,0.0,2.0,0.0,45.66666666666666,36.0,31.0,70.0,5.0,0.4,0.2,台南,-1.0,-1.0,-1.0,-1.0,12.0,10.0,0.833333333,車禍
10100157,1,成立,B.刑事,交通事故,385000000000000.0,296000000000000.0,1.0,5,1,6.0,2012,3,62,2012.0,3.0,69.0,4,4.0,947.0,620.0,0,0,1,1.0,0.1666666666666666,2.0,2.0,2.0,0.0,0.0,41.5,46.0,19.0,55.0,6.0,0.3333333333333333,0.0,台南,-1.0,-1.0,-1.0,-1.0,75.0,53.0,0.706666667,車禍
10100158,1,成立,B.刑事,交通事故,385000000000000.0,245000000000000.0,2.0,2,0,20.0,2012,3,62,2012.0,3.0,89.0,4,3.0,600.0,910.0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,2.0,0.5,0.0,台南,-1.0,-1.0,-1.0,-1.0,16.0,9.0,0.5625,車禍
10100159,1,成立,B.刑事,交通事故,385000000000000.0,206000000000000.0,1.0,2,0,4.0,2012,3,63,2012.0,3.0,68.0,5,3.0,968.0,870.0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,2.0,1.0,0.0,台南,-1.0,-1.0,-1.0,-1.0,13.0,11.0,0.846153846,車禍
